Alternatives,MeanMinAbundance,MinAbundance_05,MaxAbundance_95,lambda
StatusQuo,4926.837989958286,511.01479950068983,14209.066371060559,0.838599198551848
June,3131.0900142602163,452.43340903410194,8336.911461892567,0.81864858389457
MaxWater,2559.1318656002195,402.0771213957568,6823.607423291733,0.819885241739963
MaxWater_noSMSCG,3174.548993769165,557.2588523542573,8068.924520022122,0.824734842974661
MaxDS_Even,1791315.0148561366,546373.627096614,3860537.2193793366,1.02606045138041
MaxDS_Hist,2083524.9714237715,596935.7328649103,4094162.8242586795,1.03055669675993
SummerFall_Even,12694.962918950057,1966.9057709736494,34457.53156067477,0.849571859477755
Summer_Even,11037.983513736517,2301.2363483415725,28190.498561755812,0.845590303165111
Summer_Even_AltSMSCG,12276.241268489257,2045.9079066825675,31974.597065678056,0.850630167595084
SummerFall_Hist,8665.2084608172,1485.6997478912099,24025.75693731969,0.841109774206832
Summer_Hist,9302.915042752162,1380.5592481952135,23685.113649017112,0.842297658787087
